2019-12-03 18:17:41.7788|INFO|1|File Logger created: 'C:\Users\simba\Desktop\BiT\Software\SSRS\LogFiles\RSManagement_${DailyDate}.log' - level Info, will roll at 32 Mb, process id 5904
2019-12-03 18:17:42.1988|INFO|1|CFG : Dumper.path = [..\LogFiles\] (env)
2019-12-03 18:17:42.1988|INFO|1|CFG : Name = [] (env)
2019-12-03 18:17:42.1988|INFO|1|CFG : Dumper.flags = [SendToWatson, AllThreads, AllMemory] (env)
2019-12-03 18:17:42.1988|INFO|1|CFG : Dumper.preventIfContains = [Microsoft.BIServer.HostingEnvironment.Exceptions.TrustedProcessTokenExpiredException] (env)
2019-12-03 18:17:42.2583|INFO|1|Do not dump on: Microsoft.BIServer.HostingEnvironment.Exceptions.TrustedProcessTokenExpiredException
2019-12-03 18:17:42.2598|INFO|1|CFG : listenerUrl = [http://+:8082/] (env)
2019-12-03 18:17:42.2598|INFO|1|CFG : rsConfigFilePath = [..\ReportServer\rsreportserver.config] (env)
2019-12-03 18:17:42.4049|INFO|1|SKU: SQL Server Evaluation
2019-12-03 18:17:43.6410|INFO|1|The web server needs to run elevated
2019-12-03 18:17:43.6410|INFO|1|Web Server is running.
2019-12-03 18:17:46.4415|ERROR|6|FailedToDecryptConfigInformation: Dsn| RequestID = s_d1706295-5700-4a62-a773-459aea1e49ec 
2019-12-03 18:17:47.7057|ERROR|6|FailedToDecryptConfigInformation: Dsn| RequestID = s_fa0b43a6-d569-4c1a-b291-4b3551875fda 
2019-12-03 18:17:57.7746|ERROR|6|FailedToDecryptConfigInformation: Dsn| RequestID = s_8fcf25c1-4581-4391-9db2-40e055777ec3 
2019-12-03 18:18:07.7907|ERROR|6|FailedToDecryptConfigInformation: Dsn| RequestID = s_be88408d-b330-4121-b118-457459ba5462 
2019-12-03 18:18:17.8062|ERROR|6|FailedToDecryptConfigInformation: Dsn| RequestID = s_b7e84583-e032-4488-b669-d2be26d05a6a 
2019-12-03 18:18:27.8318|ERROR|9|FailedToDecryptConfigInformation: Dsn| RequestID = s_6de059e9-3df3-4a1e-b34b-9b3332af8e00 
2019-12-03 18:18:37.8493|ERROR|9|FailedToDecryptConfigInformation: Dsn| RequestID = s_d5c3a6fa-56aa-4264-830b-e1147e804678 
2019-12-03 18:18:47.8818|ERROR|9|FailedToDecryptConfigInformation: Dsn| RequestID = s_efc0562f-badd-41b9-b120-60355d3e5475 
2019-12-03 18:18:57.9053|ERROR|9|FailedToDecryptConfigInformation: Dsn| RequestID = s_af56d0ce-1ded-4145-b530-3085d04563e2 
2019-12-03 18:19:07.9399|ERROR|11|FailedToDecryptConfigInformation: Dsn| RequestID = s_2bc63093-a0e3-4671-8d79-0d7b009e8b00 
